layer,index,s,s_over_s1,log10_s_over_s1
3.0,97.0,0.0013299368651054882,5.4344310634848566e-5,-4.264845915960848
3.0,98.0,0.0010695882261789306,4.3705860285506124e-5,-4.359460326896367
3.0,99.0,0.0010695486876303856,4.3704244648538265e-5,-4.3594763813839
3.0,100.0,0.0010579634005713056,4.323084289898785e-5,-4.364206296670593
3.0,101.0,0.0009725469961381058,3.974053013480902e-5,-4.400766343741388
3.0,102.0,0.0009266267173949081,3.786412084205569e-5,-4.421772122501761
3.0,103.0,0.0009265812505540909,3.786226296129023e-5,-4.421793432574265
3.0,104.0,0.0008911424666537312,3.641415190328925e-5,-4.438729800442946
3.0,105.0,0.0008421896220989092,3.441382492480844e-5,-4.463267055033221
3.0,106.0,0.0008421601841414082,3.441262202146102e-5,-4.463282235659544
3.0,107.0,0.0008110346491921593,3.314076033814446e-5,-4.479637531919321
3.0,108.0,0.0007952717374798828,3.249665113786772e-5,-4.488161391860557
3.0,109.0,0.0007952395323146757,3.249533515998337e-5,-4.488178979319138
3.0,110.0,0.0007853922259125478,3.209295133855939e-5,-4.493590342389928
3.0,111.0,0.0007853479261205745,3.2091141146121526e-5,-4.493614839319205
3.0,112.0,0.0007669914819119108,3.134105418154388e-5,-4.503886399777841
3.0,113.0,0.0007669628515021003,3.1339884276471565e-5,-4.50390261151078
3.0,114.0,0.0007481969330599805,3.05730652432343e-5,-4.514661016900787
3.0,115.0,0.0007480694940106337,3.0567857787552435e-5,-4.514734995805937
3.0,116.0,0.0007320161481877283,2.9911880774644064e-5,-4.524156278898815
3.0,117.0,0.0007319791089934964,2.99103672671011e-5,-4.524178254267373
3.0,118.0,0.000660086310651949,2.6972660472146072e-5,-4.569076214415219
3.0,119.0,0.000641112118874902,2.6197330906486396e-5,-4.581742954162442
3.0,120.0,0.000596957333469518,2.4393063773929742e-5,-4.612733648782316
3.0,121.0,0.0005656802431039041,2.3115009184136617e-5,-4.636105929670457
3.0,122.0,0.0005573767247396051,2.277570812918327e-5,-4.642528111311458
3.0,123.0,0.0005274708269976812,2.1553683656185284e-5,-4.6664784955802965
3.0,124.0,0.0005040520393667717,2.0596737576188663e-5,-4.686201564332996
3.0,125.0,0.00045735479104111785,1.8688579500879796e-5,-4.728423707629963
3.0,126.0,0.0004569352850567927,1.8671437511569245e-5,-4.728822244487501
3.0,127.0,0.00045689509072897584,1.866979507793653e-5,-4.728860448896653
3.0,128.0,0.0004453442034289394,1.819779898247412e-5,-4.739981136606739
3.0,129.0,0.00044517233672418334,1.8190776109557284e-5,-4.740148771364903
3.0,130.0,0.0004403232931607274,1.7992632922005702e-5,-4.744905280243617
3.0,131.0,0.0004160214407822236,1.6999602764476462e-5,-4.769561226810638
3.0,132.0,0.00041592634294228037,1.699571684576094e-5,-4.769660513011326
3.0,133.0,0.00040049443102478335,1.6365133066231255e-5,-4.786080459057779
3.0,134.0,0.0004004458890083218,1.636314952664329e-5,-4.786133101007218
3.0,135.0,0.0003982263840582623,1.627245539699974e-5,-4.788546910190961
3.0,136.0,0.0003802996491804383,1.5539927354180376e-5,-4.8085510157636975
3.0,137.0,0.00038029146666296765,1.5539592997503103e-5,-4.808560360133128
3.0,138.0,0.00037607511220861227,1.536730295710638e-5,-4.813402346789505
3.0,139.0,0.0003760561808746929,1.536652937881237e-5,-4.8134242093923065
3.0,140.0,0.00037588714923907876,1.5359622353408422e-5,-4.813619462159133
3.0,141.0,0.0003313230093726037,1.3538628046369295e-5,-4.868425343190011
3.0,142.0,0.00032986868319050334,1.3479200899203036e-5,-4.8703358537468056
3.0,143.0,0.0003297396173656347,1.3473926969693272e-5,-4.870505810905351
3.0,144.0,0.0003278327905855477,1.3396009596633855e-5,-4.873024550012162
3.0,145.0,0.00029821784204591534,1.2185873984109735e-5,-4.914143317290554
3.0,146.0,0.0002981808938199354,1.2184364193740926e-5,-4.914197128305617
3.0,147.0,0.0002832784266369992,1.1575414756317154e-5,-4.936463438914519
3.0,148.0,0.0002785926961007859,1.1383944918543333e-5,-4.943707214261663
3.0,149.0,0.00027855139961253115,1.1382257448074075e-5,-4.943771595584707
3.0,150.0,0.00027827510460541713,1.1370967392066589e-5,-4.944202585869494
3.0,151.0,0.0002692928924395319,1.1003933331323964e-5,-4.958452049500623
3.0,152.0,0.0002692697592646782,1.1002988056045712e-5,-4.9584893584754
3.0,153.0,0.0002682493773310828,1.096129287921407e-5,-4.960138218005539
3.0,154.0,0.00026821371152440976,1.095983549147805e-5,-4.960195964618028
3.0,155.0,0.0002593008431607491,1.059563497962603e-5,-4.974873011592699
3.0,156.0,0.00025248753501857526,1.0317227377096817e-5,-4.986436998116819
3.0,157.0,0.00022093162657371354,9.027779632706045e-6,-5.044419050554379
3.0,158.0,0.00022091622109223928,9.027150128935842e-6,-5.044449334805545
3.0,159.0,0.00021082500129316608,8.614799439339859e-6,-5.064754828883613
3.0,160.0,0.0002108097368025799,8.614175696784957e-6,-5.0647862745091015
