n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
8,2-4-8-16,4,32,no,1.467262e-03,Z4,0.5472968202,9.34914908e-02,4.92064841e-03,18.999832,7.28682571e-06,1.85901616e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z5,-0.2420958587,9.71567029e-02,5.22827346e-03,18.582942,6.75670741e-06,2.61300088e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z6,0.7480519530,7.26719056e-02,1.02965000e-03,70.579231,9.87961000e-06,2.53501122e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z7,-0.3692488824,8.91413171e-02,2.98683279e-03,29.844763,2.76943821e-06,1.43034509e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z8,0.6822338771,5.78244507e-02,4.95658539e-04,116.661867,1.07558340e-05,8.66317780e-04,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,4-8-16,3,48,no,5.484323e-04,Z_mid,0.5472968202,3.24726009e-02,1.19901530e-03,27.082724,1.37269516e-05,1.85901616e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,ZZ_mid,-0.5911151966,1.35809932e-02,1.00515397e-04,135.113561,2.45305318e-05,1.34601135e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,Z_mean,0.1392920236,2.63236996e-03,5.50115509e-13,4785122242.497931,5.46174217e-13,5.52058399e-13,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,Z1,-0.4064784575,1.57114762e-02,1.46052587e-04,107.574104,1.10493545e-05,1.11442886e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,Z2,0.3476279498,1.56988457e-03,8.49381843e-04,1.848267,1.50322360e-05,5.62776983e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,Z3,-0.1930512129,1.08732496e-02,7.37748316e-04,14.738427,9.92883058e-06,2.88917543e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,Z4,0.5472968202,3.24726009e-02,1.19901530e-03,27.082724,1.37269516e-05,1.85901616e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,Z5,-0.2420958587,2.10236780e-02,1.01123098e-03,20.790184,2.38593918e-05,2.61300088e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,Z6,0.7480519530,2.25618078e-02,1.19342074e-04,189.051581,5.90578843e-06,2.53501122e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
