n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,3-8,2,32,no,4.845102e-04,Z1,0.5528241271,7.98841625e-03,2.28393982e-03,3.497647,2.09284050e-03,1.08391657e-03,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z2,-0.1136137213,2.01365589e-02,2.41437293e-03,8.340285,3.23787313e-03,7.58560739e-03,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z3,0.3263197306,2.00878402e-02,3.05996877e-03,6.564721,4.57256418e-03,1.25584310e-02,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z4,0.2065606881,1.94854041e-03,2.36416484e-03,0.824198,3.38546432e-03,8.77749555e-03,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z5,0.0450521809,6.97285904e-02,1.84128663e-04,378.694926,5.94811341e-05,1.34563828e-03,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z6,0.3309519723,4.29649498e-03,3.56656583e-03,1.204659,4.96716239e-04,1.57107969e-02,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z7,0.0529617514,5.35647891e-02,1.94018269e-03,27.608116,2.43949594e-04,1.17752484e-02,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z8,0.3827838627,2.73748559e-02,3.85231423e-04,71.060807,3.00883669e-04,1.44436950e-04,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z9,0.0189315908,3.64746933e-02,3.56370203e-03,10.235057,3.33231555e-03,2.11069236e-03,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z10,0.7890456106,4.28750192e-02,1.57305082e-03,27.255966,2.90994728e-03,9.96819764e-03,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
